Timestamp: 2025-03-10_07-50-10 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"00FE4FF0"},"correlation_ids":["gs:uplink:01JNZD2TWCSXWKBZMDDAQQEKQK","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD2TWCHA23NFSRNYZDS2RV","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD2WQK3P05ARS0MAY900ZY"],"received_at":"2025-03-10T06:50:10.547517239Z","join_accept":{"session_key_id":"AZV+0WuOZDwwvjYcHFk3sQ==","received_at":"2025-03-10T06:50:08.652386733Z"}}
Timestamp: 2025-03-10_07-50-14 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"00FE4FF0"},"correlation_ids":["gs:uplink:01JNZD308VK4QJ41TA560BNZFB","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD308V3F31MKETJ00Y3XZ4","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD30F7GQMMRQMX79R97W4W"],"received_at":"2025-03-10T06:50:14.375510317Z","uplink_message":{"session_key_id":"AZV+0WuOZDwwvjYcHFk3sQ==","f_port":2,"frm_payload":"W3siTEFUIjoiMC4wMDAwMDAiLCJMT04iOiIwLjAwMDAwMCIsIkFMVCI6IjAuMDAiLCJUIjoiMC4wMCJ9XQ==","rx_metadata":[{"gateway_ids":{"gateway_id":"fcc23dfffe0b75d8","eui":"FCC23DFFFE0B75D8"},"timestamp":2483244700,"rssi":-36,"channel_rssi":-36,"snr":7.5,"uplink_token":"Ch4KHAoQZmNjMjNkZmZmZTBiNzVkOBII/MI9//4LddgQnJ2NoAkaCwiml7q+BhCPu8dRIOCirOeimWM=","channel_index":5,"received_at":"2025-03-10T06:50:14.170476416Z"}],"settings":{"data_rate":{"lora":{"bandwidth":125000,"spreading_factor":7,"coding_rate":"4/5"}},"freque
Timestamp: 2025-03-10_07-50-30 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"0063E9A4"},"correlation_ids":["gs:uplink:01JNZD3DZK53D6SKJMHE8A7GDW","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD3DZK1YT3JVQXACFMM792","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD3FRX7EQG1E75MS6GX78G"],"received_at":"2025-03-10T06:50:30.045453340Z","join_accept":{"session_key_id":"AZV+0bgLF2Rie3ic8workQ==","received_at":"2025-03-10T06:50:28.211513660Z"}}
Timestamp: 2025-03-10_07-50-34 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"0063E9A4"},"correlation_ids":["gs:uplink:01JNZD3KEZK9YSWGPXNZF4A891","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD3KEZ3SEZ8RF3J9HQZ1CC","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD3KNABXYP41JX00CJ1ZG0"],"received_at":"2025-03-10T06:50:34.026352121Z","uplink_message":{"session_key_id":"AZV+0bgLF2Rie3ic8workQ==","f_port":2,"frm_payload":"W3siU00xIjoiMCIsIlNNMiI6IjAiLCJCTCI6IjEwMCJ9XQ==","rx_metadata":[{"gateway_ids":{"gateway_id":"fcc23dfffe0b75d8","eui":"FCC23DFFFE0B75D8"},"timestamp":2502885476,"rssi":-41,"channel_rssi":-41,"snr":10.5,"uplink_token":"Ch4KHAoQZmNjMjNkZmZmZTBiNzVkOBII/MI9//4LddgQ5IC8qQkaDAi5l7q+BhCY1cGIAyCgjeb865lj","channel_index":7,"received_at":"2025-03-10T06:50:33.822593367Z"}],"settings":{"data_rate":{"lora":{"bandwidth":125000,"spreading_factor":7,"coding_rate":"4/5"}},"frequency":"867900000","timestamp":250288
Timestamp: 2025-03-10_07-51-39 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"014C377A"},"correlation_ids":["gs:uplink:01JNZD5HMXYGG1SVHPDHY2NCJE","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD5HMX3P3GDNM5QSKZCYXC","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD5KFZW9Z6DZS3BCZV0MW0"],"received_at":"2025-03-10T06:51:39.391439206Z","join_accept":{"session_key_id":"AZV+0safWOdCl38VhAwuXA==","received_at":"2025-03-10T06:51:37.501393737Z"}}
Timestamp: 2025-03-10_07-51-43 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"014C377A"},"correlation_ids":["gs:uplink:01JNZD5Q16Q0G5WZ1VFVEA03EX","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD5Q16VSNSQXDZ439R40R2","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD5Q7H4T932BSC956YZTQW"],"received_at":"2025-03-10T06:51:43.217876715Z","uplink_message":{"session_key_id":"AZV+0safWOdCl38VhAwuXA==","f_port":2,"frm_payload":"W3siTEFUIjoiMC4wMDAwMDAiLCJMT04iOiIwLjAwMDAwMCIsIkFMVCI6IjAuMDAiLCJUIjoiMC4wMCJ9XQ==","rx_metadata":[{"gateway_ids":{"gateway_id":"fcc23dfffe0b75d8","eui":"FCC23DFFFE0B75D8"},"timestamp":2572105875,"rssi":-38,"channel_rssi":-38,"snr":10,"uplink_token":"Ch4KHAoQZmNjMjNkZmZmZTBiNzVkOBII/MI9//4LddgQk/G8ygkaCwj/l7q+BhCLiOoGILj80+vtm2M=","channel_index":3,"received_at":"2025-03-10T06:51:43.013756924Z"}],"settings":{"data_rate":{"lora":{"bandwidth":125000,"spreading_factor":7,"coding_rate":"4/5"}},"frequen
Timestamp: 2025-03-10_07-51-58 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"00CB9B69"},"correlation_ids":["gs:uplink:01JNZD64R55QVVT1ESR4ZHF0WS","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD64R57TY08GR6XDTR8XWM","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD66GJGPC6ZKSZVEQ66SEC"],"received_at":"2025-03-10T06:51:58.866941626Z","join_accept":{"session_key_id":"AZV+0xMIEPXYKEvfQu+K1g==","received_at":"2025-03-10T06:51:57.061786731Z"}}
Timestamp: 2025-03-10_07-52-02 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"00CB9B69"},"correlation_ids":["gs:uplink:01JNZD6A7AG3248NAKD2GXR21M","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD6A7AND1PVX6S7TW4H6GA","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD6ADPHFY8D2SZ5Z0CP41J"],"received_at":"2025-03-10T06:52:02.870316217Z","uplink_message":{"session_key_id":"AZV+0xMIEPXYKEvfQu+K1g==","f_port":2,"frm_payload":"W3siU00xIjoiMCIsIlNNMiI6IjAiLCJCTCI6IjEwMCJ9XQ==","rx_metadata":[{"gateway_ids":{"gateway_id":"fcc23dfffe0b75d8","eui":"FCC23DFFFE0B75D8"},"timestamp":2591739043,"rssi":-37,"channel_rssi":-37,"snr":10.5,"uplink_token":"Ch4KHAoQZmNjMjNkZmZmZTBiNzVkOBII/MI9//4LddgQo5nr0wkaDAiSmLq+BhCX99y9AiC4ub39tpxj","channel_index":3,"received_at":"2025-03-10T06:52:02.665763585Z"}],"settings":{"data_rate":{"lora":{"bandwidth":125000,"spreading_factor":7,"coding_rate":"4/5"}},"frequency":"867100000","timestamp":259173
Timestamp: 2025-03-10_07-53-08 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"001D5C1E"},"correlation_ids":["gs:uplink:01JNZD88DWSEGK3TR6A4E14SRP","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD88DWV8T9VXP7QW24XWCT","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD8A7P75KEA88P5WA12QCC"],"received_at":"2025-03-10T06:53:08.215070296Z","join_accept":{"session_key_id":"AZV+1CG9r+Ftu0vqJrLNgg==","received_at":"2025-03-10T06:53:06.364473498Z"}}
Timestamp: 2025-03-10_07-53-12 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"001D5C1E"},"correlation_ids":["gs:uplink:01JNZD8DTWNBVA8HEKWC7HPD9A","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD8DTX644JD3VGAGMVAQ10","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD8E18N3CDMS4Z5PS6ABS4"],"received_at":"2025-03-10T06:53:12.104728044Z","uplink_message":{"session_key_id":"AZV+1CG9r+Ftu0vqJrLNgg==","f_port":2,"frm_payload":"W3siTEFUIjoiMC4wMDAwMDAiLCJMT04iOiIwLjAwMDAwMCIsIkFMVCI6IjAuMDAiLCJUIjoiMC4wMCJ9XQ==","rx_metadata":[{"gateway_ids":{"gateway_id":"fcc23dfffe0b75d8","eui":"FCC23DFFFE0B75D8"},"timestamp":2660972027,"rssi":-39,"channel_rssi":-39,"snr":9.2,"uplink_token":"Ch4KHAoQZmNjMjNkZmZmZTBiNzVkOBII/MI9//4LddgQ++vs9AkaDAjXmLq+BhC7nbitAyD4uKvyuJ5j","channel_index":3,"received_at":"2025-03-10T06:53:11.900038739Z"}],"settings":{"data_rate":{"lora":{"bandwidth":125000,"spreading_factor":7,"coding_rate":"4/5"}},"freque
Timestamp: 2025-03-10_07-53-27 | Device: sensor-5a7c5824000084cb | Data: {"end_device_ids":{"device_id":"sensor-5a7c5824000084cb","application_ids":{"application_id":"default-app"},"dev_eui":"5A7C5824000084CB","join_eui":"60C5A8FFFE753E41","dev_addr":"0106E181"},"correlation_ids":["gs:uplink:01JNZD8VFZX3S8GMB0AA9Z541R","rpc:/ttn.lorawan.v3.GsNs/HandleUplink:01JNZD8VG0NAX7X5R4J5GVEXH5","rpc:/ttn.lorawan.v3.NsAs/HandleUplink:01JNZD8XB8CBH18K4GFR9VSFSF"],"received_at":"2025-03-10T06:53:27.784562793Z","join_accept":{"session_key_id":"AZV+1G4BeYpCE/rmnSnIIQ==","received_at":"2025-03-10T06:53:25.888205651Z"}}
